Nested Sampling Global Log-Evidence           :   -0.202350864537798225E+04  +/-    0.222467231508626712E+00
Nested Importance Sampling Global Log-Evidence:   -0.202356486437522585E+04  +/-    0.194673425240903461E-01

Dim No.       Mean        Sigma
   1    0.134949613970987731E+00    0.255068305681360567E-02
   2    0.245064370425586064E+01    0.334039280020341847E-01
   3   -0.193325386452295014E+02    0.405309775993575958E-02
   4    0.379111753707441379E+00    0.971534395133783965E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.134528385595680255E+00
   2    0.244993904478444691E+01
   3   -0.193329955771307134E+02
   4    0.377377046933226212E+00

MAP Parameters
Dim No.        Parameter
   1    0.134528385595680255E+00
   2    0.244993904478444691E+01
   3   -0.193329955771307134E+02
   4    0.377377046933226212E+00
