Nested Sampling Global Log-Evidence           :   -0.673640921922170492E+04  +/-    0.274472470798285850E+00
Nested Importance Sampling Global Log-Evidence:    0.000000000000000000E+00  +/-    0.212199579145933796-313

Dim No.       Mean        Sigma
   1    0.892514729438805832E-01    0.227374473697082450E-02
   2    0.206933929098276082E+01    0.347921297048350911E-01
   3   -0.190229012225118481E+02    0.246622833450078774E-02
   4    0.410211518340673504E-03    0.420684003449145862E-03
   5    0.865145721370297885E-04    0.545831398410498412E-04
   6   -0.227730167041052006E+00    0.521417219829158674E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.904162381260933401E-01
   2    0.209477970738682728E+01
   3   -0.190224351300932248E+02
   4    0.395459297779528462E-04
   5    0.743432614624643667E-04
   6   -0.488789150882500856E+00

MAP Parameters
Dim No.        Parameter
   1    0.904162381260933401E-01
   2    0.209477970738682728E+01
   3   -0.190224351300932248E+02
   4    0.395459297779528462E-04
   5    0.743432614624643667E-04
   6   -0.488789150882500856E+00
