Nested Sampling Global Log-Evidence           :   -0.201179114774735990E+04  +/-    0.228980540567698260E+00
Nested Importance Sampling Global Log-Evidence:   -0.201246809478571049E+04  +/-    0.175791292805931552E-01

Dim No.       Mean        Sigma
   1    0.133783639056574755E+00    0.269205389552468720E-02
   2    0.244459270672109108E+01    0.333430665367204435E-01
   3   -0.193198843162632308E+02    0.467632482862384135E-02
   4    0.134330755767737176E+00    0.577159886368585340E-01
   5   -0.601985187280777545E+00    0.598330737263575857E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.134934360867995817E+00
   2    0.244438961014081446E+01
   3   -0.193192750221955727E+02
   4    0.121759992286147811E+00
   5   -0.584851219403011990E+00

MAP Parameters
Dim No.        Parameter
   1    0.134934360867995817E+00
   2    0.244438961014081446E+01
   3   -0.193192750221955727E+02
   4    0.121759992286147811E+00
   5   -0.584851219403011990E+00
