Nested Sampling Global Log-Evidence           :   -0.200944587472805074E+04  +/-    0.237993517084761685E+00
Nested Importance Sampling Global Log-Evidence:   -0.201064130610125949E+04  +/-    0.981817801696384940E-01

Dim No.       Mean        Sigma
   1    0.133524267886106524E+00    0.260818432460914983E-02
   2    0.244625190520711389E+01    0.335339912589711769E-01
   3   -0.193157206844955702E+02    0.472944865188031603E-02
   4    0.847005866145179698E+00    0.140369129675972648E+00
   5    0.262537467691285997E+00    0.440828361948709252E-01
   6   -0.606776949315316338E+00    0.793156821355330138E-01
   7   -0.783422887443897209E+00    0.217712532117234153E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.132703440826333008E+00
   2    0.243927619550761587E+01
   3   -0.193122905964730549E+02
   4    0.977880108904505829E+00
   5    0.274310551169488992E+00
   6   -0.532374177720956521E+00
   7   -0.988848193949528831E+00

MAP Parameters
Dim No.        Parameter
   1    0.132703440826333008E+00
   2    0.243927619550761587E+01
   3   -0.193122905964730549E+02
   4    0.977880108904505829E+00
   5    0.274310551169488992E+00
   6   -0.532374177720956521E+00
   7   -0.988848193949528831E+00
